Name;Effect;Rarity/ Points;;
Titanium Temple Guard;Boosts maximum HP;32%;31%;30%
Iron Temple Guard;Boosts maximum HP;27%;26%;25%
Bronze Temple Guard;Boosts maximum HP;22%;21%;20%
Saturni Ring;Boosts Attack;40%;N/A;N/A
Ceramic Belt;Boosts Attack;32%;31%;30%
Silver Belt;Boosts Attack;27%;26%;25%
Steam Belt;Boosts Attack;22%;21%;20%
Solis Ring;Boosts Healing;40%;N/A;N/A
Circlet of Enlightenment;Boosts Healing;32%;31%;30%
Circlet of Wisdom;Boosts Healing;27%;26%;25%
Circlet of Intellect;Boosts Healing;22%;21%;20%
Carbon Gloves;Boosts Dexterity;32%;31%;30%
Hero Gloves;Boosts Dexterity;27%;26%;25%
Rainbow Gloves;Boosts Dexterity;22%;21%;20%
Iovis Rings;Boosts Agility;40%;N/A;N/A
Titanium Support;Boosts Agility;32%;31%;30%
Jade Support;Boosts Agility;27%;26%;25%
Gear Support;Boosts Agility;22%;21%;20%
Mercurii Rings;Boosts Critical Rate;60%;N/A;N/A
Crimson Headband;Boosts Critical Rate;45%;42%;40%
Optical Headband;Boosts Critical Rate;32%;30%;25%
Ice Headband;Boosts Critical Rate;25%;22%;20%
Thermo Headgear;Increases Critical Rate by percentage points;17;16;15
Detector Headgear;Increases Critical Rate by percentage points;12;11;10
Search Headgear;Increases Critical Rate by percentage points;7;6;5
Berserker's Armor Vest;Boosts Physical Defense;22%;21%;20%
Fierce Armor Vest;Boosts Physical Defense;17%;16%;15%
Warrior's Armor Vest;Boosts Physical Defense;12%;11%;10%
Sergeant's Headband;Increases Physical Defense by percentage points;12;11;10
Soldier's Headband;Increases Physical Defense by percentage points;7;6;5
Asylum Lining;Boosts Ether Defense;22%;21%;20%
Shell Lining;Boosts Ether Defense;17%;16%;15%
Armored Lining;Boosts Ether Defense;12%;11%;10%
Crystalline Chemise;Increases Ether Defense by percentage points;12;11;10
Swimmer's Chemise;Increases Ether Defense by percentage points;7;6;5
Martis Rings;Boosts Block Rate;60%;N/A;N/A
Solid Weak Guard;Boosts Block Rate;42%;41%;40%
Heavy Weak Guard;Boosts Block Rate;32%;31%;30%
Light Weak Guard;Boosts Block Rate;22%;21%;20%
Shield Belt;Deal 50% less damage but take less damage;30%;27%;25%
Plate Belt;Deal 30% less damage but take less damage;20%;17%;15%
Hyper Protector;Boosts Block rate when HP is at 30% or lower;42%;41%;40%
Smart Protector;Boosts Block rate when HP is at 30% or lower;37%;35%;32%
Shell Protector;Boosts Block rate when HP is at 30% or lower;32%;31%;30%
Feather Misanga;Boosts evasion when HP is at 30% or lower;27%;26%;25%
Iron Misanga;Boosts evasion when HP is at 30% or lower;22%;21%;20%
Misanga;Boosts evasion when HP is at 30% or lower;17%;16%;15%
Survivor Kneeguard;Boosts evasion by while moving;22%;21%;20%
Scout's Kneeguard;Boosts evasion by while moving;17%;16%;15%
Herald's Kneeguard;Boosts evasion by while moving;12%;11%;10%
Metal Foot Protector;Boosts evasion by while stationary or auto-attacking;22%;21%;20%
Heavy Foot Protector;Boosts evasion by while stationary or auto-attacking;17%;16%;15%
Foot Protector;Boosts evasion by while stationary or auto-attacking;12%;11%;10%
Tactical Gloves;Boosts evasion by while Art is active;22%;21%;20%
Engineer Gloves;Boosts evasion by while Art is active;17%;16%;15%
Work Gloves;Boosts evasion by while Art is active;12%;11%;10%
Fighting Headband;Adds 10% chance to grant Power Charge when evading;YES;N/A;N/A
Vigorous Anklets;Reduce damage taken while performing Art;25%;22%;20%
Sturdy Anklets;Reduce damage taken while performing Art;15%;12%;10%
Induction Bangle;Boosts damage dealt when attacking from the front;29%;27%;25%
Strike Bangle;Boosts damage dealt when attacking from the front;24%;22%;20%
Power Bangle;Boosts damage dealt when attacking from the front;19%;17%;15%
Jewel Beetle Gauntlet;Boosts damage dealt when attacking from the side;29%;27%;25%
Adamantine Gauntlet;Boosts damage dealt when attacking from the side;24%;22%;20%
Bronze Gauntlet;Boosts damage dealt when attacking from the side;19%;17%;15%
Scale Mask;Boosts damage dealt when attacking from behind;29%;27%;25%
Ghillie Mask;Boosts damage dealt when attacking from behind;24%;22%;20%
Beast Mask;Boosts damage dealt when attacking from behind;19%;17%;15%
Champion Belt;Boosts damage dealt when attacking toppled enemies;110%;105%;100%
Muscle Belt;Boosts damage dealt when attacking toppled enemies;85%;80%;75%
Beast-Hide Vest;Boosts damage dealt when attacking toppled enemies;60%;55%;50%
Fiber Wraps;Boosts damage dealt when attacking launched enemies;110%;105%;100%
Leather Wraps;Boosts damage dealt when attacking launched enemies;85%;80%;75%
White Wraps;Boosts damage dealt when attacking launched enemies;60%;55%;50%
Hero Pauldrons;Boosts Smash damage;110%;105%;100%
Jet Pauldrons;Boosts Smash damage;85%;80%;75%
Spiked Pauldrons;Boosts Smash damage;60%;55%;50%
Strung Lapis Lazuli;Boosts damage dealt when attacking dazed enemies;110%;105%;100%
Strung Jade;Boosts damage dealt when attacking dazed enemies;85%;80%;75%
Strung Amber;Boosts damage dealt when attacking dazed enemies;60%;55%;50%
Cosmos Anklets;Extends duration when quelling enemy rage with Burst;110%;105%;100%
Moon Anklets;Extends duration when quelling enemy rage with Burst;85%;80%;75%
Star Anklets;Extends duration when quelling enemy rage with Burst;60%;55%;50%
Hermit Mask;Boosts damage dealt to Terrestrial Life;100%;95%;90%
Shadow Mask;Boosts damage dealt to Terrestrial Life;80%;75%;70%
Black Mask;Boosts damage dealt to Terrestrial Life;60%;55%;50%
Rainbow Feather Band;Boosts damage dealt to Aerial Life;100%;95%;90%
Black Feather Band;Boosts damage dealt to Aerial Life;80%;75%;70%
Feather Band;Boosts damage dealt to Aerial Life;60%;55%;50%
Crushing Weapon Belt;Boosts damage dealt to Aquatic Life;100%;95%;90%
Firearm Belt;Boosts damage dealt to Aquatic Life;80%;75%;70%
Slashing Weapon Belt;Boosts damage dealt to Aquatic Life;60%;55%;50%
Fiber Belt;Boosts damage dealt to Machines;100%;95%;90%
Work Belt;Boosts damage dealt to Machines;80%;75%;70%
Tool Belt;Boosts damage dealt to Machines;60%;55%;50%
Cyrus Leg Frame;Boost damage dealt for the first 30 seconds of battle;60%;55%;50%
Gale Leg Frame;Boost damage dealt for the first 30 seconds of battle;45%;40%;35%
